type,term_id,name,slug,parent,normalized_name
category,169,vanguard,vanguard,,The Veilguard
category,2110,Vectrex,vectrex,,The Veilguard
category,411,Video Game,video-game,trends,The Veilguard
category,1795,Video game console,video-game-console,trends,Video Game Console
category,412,Video Game Series,video-game-series,trends,Video Game Series
category,302,Visual Novel,visual-novel,,Visual Novel
category,233,visual novel,visual-novel,,Visual Novel
category,471,Warhammer: Age of Reckoning,war,mmos,Warhammer: Age of Reckoning
category,1417,Warhammer: Age of Reckoning,war,,Warhammer: Age of Reckoning
category,1418,Warhammer: Age of Reckoning,warhammer-age-of-reckoning,,Warhammer: Age of Reckoning
category,149,Web Games,web-games,,Webway Games
category,472,Web Logging,web-logging,,Wizard of Legend
category,335,Whatcha Playing?,whatcha-playing,,Welcometoblaugust
category,1945,White Knight Chronicles,white-knight-chronicles,other-games,White Knight Chronicles
category,1605,Wildermyth,wildermyth,tactical-rpg,Welcometoblaugust
category,473,Wizard 101,wizard101-mmos,mmos,Welcometoblaugust
category,474,Wizardry Online,wizardry-online,mmos,Wizardry Online
category,475,World of Warcraft,world-of-warcraft,mmos,World of Warcraft
category,69,world of warcraft,world-of-warcraft,,World of Warcraft
category,476,World of Warships,world-of-warships,mmos,World of Warcraft
category,9,world of warships,world-of-warships,,World of Warcraft
category,1689,Zombie games,zombie-games,trends,Zombie Games
category,1714,2D platformer games,2d-platformer-games,trends,2d Platformer Games
category,1688,2D platformers,2d-platformers,trends,2d Platformers
category,477,7DRL,7drl,other-games,7drl
category,478,7SRL,7srl,other-games,7drl
category,1680,Action Adventure games,action-adventure-games,trends,Action Adventure Games
category,1583,Advent of Code,advent-of-code,general,All Points Bulletin
category,479,Adventures in Monopoly,adventures-in-monopoly,humor,Adventures in Monopoly
category,480,AdventureVille,adventureville,facebook-games,All Points Bulletin
category,1810,Advertising,advertising,general,All Points Bulletin
category,481,Age of Conan,aoc,mmos,All Points Bulletin
category,482,Aion,aion,mmos,All Points Bulletin
category,483,Allods Online,allods-online,mmos,Allods Online
category,413,Arcade Game,arcade-game,trends,Attractive Graphics
category,1820,Ark Survival Evolved,ark-survival-evolved,survival,Ark Survival Evolved
category,484,Armikrog,armikrog,other-games,All Points Bulletin
category,1525,Artisans of Splendent Vale,artisans-of-splendent-vale,tabletop-games,Artisans of Splendent Vale
category,2058,Avalon,avalon,blockchain,All Points Bulletin
category,1544,Axie Infinity,axie-infinity,browser-game,All Points Bulletin
category,485,Ballpoint Universe,ballpoint-universe,kickstarter,Ballpoint Universe
category,1736,Bandai Wonderswan,bandai-wonderswan,trends,Bandai Wonderswan
category,1674,Basketball,basketball,trends,Blue Oyster Cult
category,486,Battle of the Immortals,battle-of-the-immortals,mmos,Battle of the Immortals
category,487,Battlestar Galactica,battlestar-galactica,sci-fi,Battlestar Galactica
