type,term_id,name,slug,parent
tag,650,bread and circuses,bread-and-circuses,
tag,1664,Breaking the 4th Wall,breaking-the-4th-wall,
tag,298,breath of the wild,breath-of-the-wild,
tag,651,bree-lands,bree-lands,
tag,652,breen,breen,
tag,653,brewday,brewday,
tag,654,brian,brian,
tag,171,bridges,bridges,
tag,655,bright wizard,bright-wizard,
tag,656,brightknife,brightknife,
tag,2137,broken sword,broken-sword,
tag,657,broker,broker,
tag,658,broodlands,broodlands,
tag,659,brooke white,brooke-white,
tag,660,brothers,brothers,
tag,2207,brownian motion,brownian-motion,
tag,661,bruce campbell,bruce-campbell,
tag,662,bruiser gi,bruiser-gi,
tag,663,bubba ho-tep,bubba-ho-tep,
tag,2304,buck up and drive,buck-up-and-drive,
tag,664,buddy,buddy,
tag,192,bullet hell,bullet-hell,
tag,665,bumptop,bumptop,
tag,1920,burning shores,burning-shores,
tag,666,butcherblock,butcherblock,
tag,86,butcherblock mountains,butcherblock-mountains,
tag,2131,buttons &amp; bugs,buttons-bugs,
tag,2366,buy the vote,buy-the-vote,
tag,2299,c,c,
tag,667,cab,cab,
tag,2084,caching,caching,
tag,2242,california,california,
tag,668,calliandra string quartet,calliandra-string-quartet,
tag,2071,camel,camel,
tag,356,camelot unchained,camelot-unchained,
tag,2337,canvas,canvas,
tag,2127,capcom,capcom,
tag,669,captain,captain,
tag,2321,captaincon,captaincon,
tag,1630,capture card,capture-card,
tag,274,card game,card-game,
tag,670,cardassian,cardassian,
tag,671,cards,cards,
tag,1925,carl sagan,carl-sagan,
tag,672,carly smithson,carly-smithson,
tag,673,carpe fulgur,carpe-fulgur,
tag,2273,carver day,carver-day,
tag,202,cash shop,cash-shop,
tag,674,casual,casual,
tag,675,casual collective,casual-collective,
tag,676,casual game,casual-game,
tag,677,casualties of war,casualties-of-war,
tag,2370,cat secretary,cat-secretary,
tag,678,cataclysm,cataclysm,
tag,1732,catchy music,catchy-music,
tag,239,catrike559,catrike559,
tag,1704,Cats,cats,
tag,679,cave of sorrow,cave-of-sorrow,
tag,680,cazic-thule,cazic-thule,
